VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
       13.7819193786        5.2663421497        0.1868347941
       13.9906546995        7.3615893703        1.1814328184
       13.9951831352        6.7403600476        1.7077624130
       13.9477038634        6.1459443656        1.2083354456
       13.8540820787        5.5781846610        1.7184793309
       13.6979565150        4.9659452999        1.1938820904
        0.4167899161        4.6206418951        0.1868347941
        1.4789405650        2.6967567214        1.7143090970
        1.4434754827        2.7426492640        1.1355275194
       10.3394096995        0.8478993133        0.0000000000
       11.8717562949        1.9734713168        1.1636639759
       12.2429946206        2.3620039448        0.0000000000
       12.3570512941        2.4942257677        0.1868347941
       13.2481366210        3.8439282699        1.2002558132
       13.5002793238        4.4026227242        0.8507833038
       13.2258129792        3.8001167602        0.7101349529
       13.4938135281        4.3864993090        0.4491142318
       13.9977826861        6.8238254333        0.4396670015
       13.9463205748        7.8652343455        0.0000000000
       13.9225773155        8.0382308566        0.1868347941
       13.6615576891        9.1502672287        0.4459957483
       13.4535713242        9.7113496941        0.4526221832
       13.0640639758       10.4967310588        0.0000000000
       12.5343901978       11.2860850596        0.4374037068
       12.1512438750       11.7396926630        0.4530221758
       11.5297606220       12.3367844913        1.1361868466
       10.8988894214       12.8136616069        1.2335905869
       10.9982428120       12.7457857962        0.7583735512
       10.3493560605       13.1466913034        0.0000000000
       10.6517331443       12.9720051108        0.0000000000
       10.5016340942       13.0612340880        0.1868347941
       10.0965890883       13.2778289255        0.4447188162
        9.4736668789       13.5483564482        0.4394343070
        7.1113473685       13.9991143557        0.8207799682
        7.6673042024       13.9681206291        0.4559180233
        6.0728276747       13.9383248323        1.8048892303
        1.2595102472       11.0058429073        0.6232317923
        8.3261636676       13.8732299486        0.4696048635
       11.2284929998       12.5785165547        0.4404108492
       10.6766930585       12.9566708952        0.4319815680
       12.2704801617       11.6067384194        1.2582946508
       13.0013583399       10.6032898962        1.2507049645
       13.5291091435        9.5240312581        1.1919941719
       13.9916345490        7.3421203491        0.6355012227
       13.9944178195        6.7205015821        0.8185759956
       12.5548684133        2.7404886535        0.4087984271
       12.9360084876        3.2900399954        0.8450433329
       11.7256216591        1.8358447027        0.4255618651
       12.2043987360        2.3187358762        0.4423825756
        9.4037461432        0.4256555856        1.7399423697
        9.9095379322        0.6333219791        1.2245484886
        8.9828435582        0.2867048759        1.1941835754
        8.7365572482        0.2188224530        0.4450579835
        8.1095325543        0.0884923851        0.4631053529
        6.4653307463        0.0204492416        0.1868347941
        6.9412679990        0.0002463935        0.4486250845
        7.5755657434        0.0237026959        0.4304611871
        6.2892079977        0.0361810241        0.4332745220
        1.1245238085        3.1949008524        0.4333970917
        0.0078841095        6.6678624175        0.1868347941
        0.0365327192        7.7142292558        0.1868972227
        0.0026748029        7.1934944084        0.4213084511
        0.1147689657        8.2623761739        0.4084094447
        1.5111464661        2.6557524375        0.4527479461
        1.2867230590        2.9554398761        0.7692291674
        1.7785837456        2.3377245578        0.7667808859
        1.9132576843        2.1911485141        0.4505457466
        0.0053993461        6.7251151297        0.4550534968
        3.2036187980        1.1188870297        1.7059414726
        3.5092842717        0.9324713677        1.1517508220
        0.3615679504        4.7793649730        0.7273771775
        0.3099174925        4.9401951444        1.0816492567
        0.5572808575        4.2629632720        1.1266142503
        0.6321882395        4.0929442070        0.7579341152
        0.7656749724        3.8167325826        0.4234801758
        0.4695834496        4.4793533215        0.4344841802
        0.9279444717        3.5171647094        1.2756768486
        3.2801583056        1.0701789430        0.4290484075
        3.8340333840        0.7568713463        0.4517845805
